supplementary_data_3._taxa_coefficients_of_the_trained_lasso-regularized_logistic_regression_model.,unnamed:_1,unnamed:_2
34,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Eubacteriaceaeg__Eubacteriums__Eubacterium_sp_CAG_38,0.0562411519774808
35,k__Bacteriap__Proteobacteriac__Deltaproteobacteria,0.0532888926776436
36,k__Bacteriap__Firmicutesc__Bacillio__Lactobacillalesf__Streptococcaceaeg__Streptococcuss__Streptococcus_thermophilus,0.0466975308987259
37,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Peptostreptococcaceaeg__Intestinibacters__Intestinibacter_bartlettii,0.0394008996013188
38,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Ruminococcaceaeg__Agathobaculum,0.0379985850319668
39,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Roseburias__Roseburia_intestinalis,0.0375944724284447
40,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Butyrivibrios__Butyrivibrio_crossotus,0.0326272697525298
41,k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Barnesiellaceaeg__Coprobacter,0.0296249549703016
42,k__Bacteriap__Firmicutesc__Firmicutes_unclassifiedo__Firmicutes_unclassifiedf__Firmicutes_unclassifiedg__Firmicutes_unclassifieds__Firmicutes_bacterium_CAG_95,0.0212573174965188
43,k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Bacteroidaceaeg__Bacteroidess__Bacteroides_cellulosilyticus,0.0194040069116123
44,k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Prevotellaceaeg__Prevotellas__Prevotella_copri,0.0193274735749407
45,k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Rikenellaceaeg__Alistipess__Alistipes_onderdonkii,0.011585084953512
46,k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Rikenellaceaeg__Alistipess__Alistipes_indistinctus,0.0093291130455459
47,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Ruminococcaceaeg__Ruminococcus,0.00698062722560157
48,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Doreas__Dorea_longicatena,0.00174253185888458
49,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Blautias__Blautia_sp_CAG_257,0.00163578384512757
50,k__Bacteriap__Proteobacteriac__Epsilonproteobacteriao__Campylobacteralesf__Helicobacteraceaeg__Helicobacters__Helicobacter_ganmani,0
51,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Alloherpesviridaeg__Cypriniviruss__Anguillid_herpesvirus_1,0
52,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Cytomegalovirus,0
53,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Cytomegaloviruss__Human_betaherpesvirus_5,0
54,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Lymphocryptovirus,0
55,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Lymphocryptoviruss__Human_gammaherpesvirus_4,0
56,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Mardivirus,0
57,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Mardiviruss__Gallid_alphaherpesvirus_2,0
58,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Rhadinovirus,0
59,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Rhadinoviruss__Ateline_gammaherpesvirus_3,0
60,k__Bacteriap__Proteobacteriac__Betaproteobacteriao__Neisserialesf__Neisseriaceaeg__Kingella,0
61,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Roseolovirus,0
62,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Roseoloviruss__Human_betaherpesvirus_6A,0
63,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Roseoloviruss__Human_betaherpesvirus_6B,0
64,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Roseoloviruss__Human_betaherpesvirus_7,0
65,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Simplexvirus,0
66,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Simplexviruss__Human_alphaherpesvirus_1,0
67,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Simplexviruss__Human_alphaherpesvirus_2,0
68,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Simplexviruss__Saimiriine_alphaherpesvirus_1,0
69,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Varicellovirus,0
70,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Varicelloviruss__Bovine_alphaherpesvirus_5,0
71,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Xp10viruss__Xanthomonas_virus_phil7,0
72,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Herpesviralesf__Herpesviridaeg__Varicelloviruss__Suid_alphaherpesvirus_1,0
73,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Xp10virus,0
74,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__T5viruss__Salmonella_virus_SPC35,0
75,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Siphoviridae_unclassifieds__Staphylococcus_phage_StB20,0
76,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Siphoviridae_unclassifieds__Stenotrophomonas_phage_S1,0
77,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Siphoviridae_unclassifieds__Streptococcus_phage_M102,0
78,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Siphoviridae_unclassifieds__Streptococcus_phage_SFi18,0
79,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Siphoviridae_unclassifieds__Streptococcus_phage_SMP,0
80,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Siphoviridae_unclassifieds__Streptococcus_phage_phi3396,0
81,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Siphoviridae_unclassifieds__Streptococcus_phage_phiNJ2,0
82,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Sk1viruss__Lactococcus_phage_340,0
83,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Sk1viruss__Lactococcus_phage_936_sensu_lato,0
84,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Sk1viruss__Lactococcus_phage_P680,0
85,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Sk1viruss__Lactococcus_phage_jm2,0
86,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Sk1viruss__Lactococcus_phage_phi7,0
87,k__Bacteriap__Proteobacteriac__Betaproteobacteriao__Neisserialesf__Neisseriaceaeg__Kingellas__Kingella_denitrificans,0
88,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__T1virus,0
89,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__T1viruss__Escherichia_virus_ADB2,0
90,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__T1viruss__Escherichia_virus_T1,0
91,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__T1viruss__Shigella_virus_Shfl1,0
92,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__T5virus,0
93,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__T5viruss__Escherichia_virus_EPS7,0
94,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__T5viruss__Escherichia_virus_T5,0
95,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__T5viruss__Pectobacterium_phage_My1,0
96,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__T5viruss__Yersinia_phage_phiR201,0
97,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Badnaviruss__Banana_streak_CA_virus,0
98,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Badnaviruss__Banana_streak_IM_virus,0
99,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Badnaviruss__Banana_streak_MY_virus,0
100,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Adenoviridaeg__Mastadenoviruss__Human_mastadenovirus_B,0
101,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Adenoviridaeg__Mastadenoviruss__Human_mastadenovirus_F,0
102,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Adenoviridaeg__Mastadenoviruss__Human_mastadenovirus_G,0
103,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Adenoviridaeg__Mastadenoviruss__Simian_adenovirus_B,0
104,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Adenoviridaeg__Mastadenoviruss__Simian_mastadenovirus_A,0
105,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Adenoviridaeg__Mastadenoviruss__Simian_mastadenovirus_C,0
106,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Adenoviridaeg__Mastadenoviruss__Simian_mastadenovirus_F,0
107,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Anelloviridaeg__Alphatorqueviruss__Torque_teno_virus_12,0
108,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Anelloviridaeg__Alphatorqueviruss__Torque_teno_virus_15,0
109,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Adenoviridaeg__Aviadenoviruss__Fowl_aviadenovirus_E,0
110,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Anelloviridaeg__Alphatorqueviruss__Torque_teno_virus_3,0
111,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Anelloviridaeg__Anelloviridae_unclassifieds__Torque_teno_virus,0
112,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Anelloviridaeg__Gyrovirus,0
113,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Anelloviridaeg__Gyroviruss__Chicken_anemia_virus,0
114,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Baculoviridaeg__Alphabaculoviruss__Autographa_californica_multiple_nucleopolyhedrovirus,0
115,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Baculoviridaeg__Alphabaculoviruss__Bombyx_mori_nucleopolyhedrovirus,0
116,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Baculoviridaeg__Alphabaculoviruss__Maruca_vitrata_nucleopolyhedrovirus,0
117,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Baculoviridaeg__Alphabaculoviruss__Spodoptera_exigua_multiple_nucleopolyhedrovirus,0
118,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Baculoviridaeg__Alphabaculoviruss__Thysanoplusia_orichalcea_nucleopolyhedrovirus,0
119,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Baculoviridaeg__Betabaculovirus,0
120,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Anelloviridaeg__Anelloviridae_unclassified,0
121,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassifiedf__Adenoviridaeg__Aviadenovirus,0
122,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Retroviridae_unclassifieds__Human_endogenous_retrovirus_K,0
123,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Retroviridae_unclassifieds__Avian_endogenous_retrovirus_EAV_HP,0
124,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Badnaviruss__Banana_streak_OL_virus,0
125,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Badnaviruss__Fig_badnavirus_1,0
126,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Badnaviruss__Sweet_potato_badnavirus_A,0
127,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Badnaviruss__Sweet_potato_badnavirus_B,0
128,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Caulimovirus,0
129,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Caulimoviruss__Cauliflower_mosaic_virus,0
130,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Caulimoviruss__Mirabilis_mosaic_virus,0
131,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Caulimoviruss__Strawberry_vein_banding_virus,0
132,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Solendovirus,0
133,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Caulimoviridaeg__Solendoviruss__Tobacco_vein_clearing_virus,0
134,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Alpharetrovirus,0
135,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Alpharetroviruss__Avian_myelocytomatosis_virus,0
136,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Alpharetroviruss__Fujinami_sarcoma_virus,0
137,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Betaretrovirus,0
138,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Betaretroviruss__Mouse_mammary_tumor_virus,0
139,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Gammaretroviruss__Abelson_murine_leukemia_virus,0
140,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Gammaretroviruss__Koala_retrovirus,0
141,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Gammaretroviruss__Murine_osteosarcoma_virus,0
142,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Lentivirus,0
143,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Lentiviruss__Human_immunodeficiency_virus_1,0
144,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Orterviralesf__Retroviridaeg__Retroviridae_unclassified,0
145,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Siphoviridae_unclassifieds__Serratia_phage_Eta,0
146,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Siphoviridae_unclassifieds__Salmonella_phage_SPN3UB,0
147,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Siphoviridae_unclassifieds__Pseudomonas_phage_phi2,0
148,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Siphoviridae_unclassifieds__Pseudomonas_phage_PAJU2,0
149,k__Bacteriap__Proteobacteriac__Betaproteobacteriao__Neisserialesf__Neisseriaceaeg__Neisserias__Neisseria_bacilliformis,0
150,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Hk97viruss__Escherichia_virus_mEpX1,0
151,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Jerseyviruss__Salmonella_virus_SE2,0
152,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Lambdavirus,0
153,k__Bacteriap__Proteobacteriac__Betaproteobacteriao__Neisserialesf__Neisseriaceaeg__Neisseria,0
154,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Lambdaviruss__Enterobacteria_phage_22,0
155,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Lmd1virus,0
156,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Lmd1viruss__Leuconostoc_virus_LN04,0
157,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Lmd1viruss__Leuconostoc_virus_P793,0
158,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Hk97viruss__Enterobacteria_phage_mEp235,0
159,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Phietavirus,0
160,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Phietaviruss__Staphylococcus_phage_StauST398_3,0
161,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Phietaviruss__Staphylococcus_virus_187,0
162,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Phietaviruss__Staphylococcus_virus_37,0
163,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Phietaviruss__Staphylococcus_virus_CNPH82,0
164,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Phietaviruss__Staphylococcus_virus_EW,0
165,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Phietaviruss__Staphylococcus_virus_PH15,0
166,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Pis4avirus,0
167,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Pis4aviruss__Salmonella_phage_Vi_II_E1,0
168,k__Bacteriap__Proteobacteriac__Betaproteobacteriao__Neisserialesf__Neisseriaceaeg__Morococcuss__Morococcus_cerebrosus,0
169,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Phietaviruss__Staphylococcus_phage_StB27,0
170,k__Bacteriap__Proteobacteriac__Betaproteobacteriao__Neisserialesf__Neisseriaceaeg__Neisserias__Neisseria_elongata,0
171,k__Bacteriap__Proteobacteriac__Betaproteobacteriao__Neisserialesf__Neisseriaceaeg__Neisserias__Neisseria_flavescens,0
172,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__Hk97viruss__Cronobacter_phage_ENT39118,0
173,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Podoviridaeg__T7viruss__Pseudomonas_phage_phi15,0
174,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Podoviridaeg__T7viruss__Pseudomonas_virus_gh1,0
175,k__Bacteriap__Proteobacteriac__Betaproteobacteriao__Neisserialesf__Neisseriaceaeg__Neisserias__Neisseria_sp_oral_taxon_014,0
176,k__Bacteriap__Proteobacteriac__Betaproteobacteriao__Neisserialesf__Neisseriaceaeg__Neisserias__Neisseria_sicca,0
177,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Podoviridaeg__T7viruss__Stenotrophomonas_phage_IME15,0
178,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Podoviridaeg__T7viruss__Yersinia_phage_phiYeO3_12,0
179,k__Bacteriap__Proteobacteriac__Betaproteobacteriao__Neisserialesf__Neisseriaceaeg__Neisserias__Neisseria_perflava,0
180,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Podoviridaeg__Una961virus,0
