supplementary_data_4._average_relative_abundance_of_taxa_with_either_positive_(n_=_49)_or_negative_(n_=_46)_coefficients_in_the_trained_lasso-regularized_logistic_regression_model.,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Odoribacteraceaeg__Butyricimonass__Butyricimonas_synergistica,Positive,0.126265171,0.0003851198319812508,0.0002169644429024581,Healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Rikenellaceaeg__Alistipess__Alistipes_inops,Positive,0.121992354,0.0025079334970254156,0.0009084148818398103,Healthy
k__Bacteriap__Proteobacteriac__Gammaproteobacteriao__Pasteurellalesf__Pasteurellaceaeg__Haemophiluss__Haemophilus_sp_HMSC71H05,Positive,0.118479988,0.000165078076978547,0.00010481747145122923,Healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Rikenellaceaeg__Alistipess__Alistipes_shahii,Positive,0.113433344,0.002795336347394984,0.0016133176796193503,Healthy
k__Bacteriap__Actinobacteriac__Actinobacteriao__Bifidobacterialesf__Bifidobacteriaceaeg__Bifidobacteriums__Bifidobacterium_animalis,Positive,0.110594187,0.0006593967373354965,0.0003426364698651865,Healthy
k__Bacteriap__Actinobacteriac__Coriobacteriiao__Eggerthellales,Positive,0.109859854,0.0029160007301243913,0.003117173459952418,Non-healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Odoribacteraceaeg__Odoribacters__Odoribacter_splanchnicus,Positive,0.108805816,0.005022133612403102,0.0039132133080888145,Healthy
k__Bacteriap__Actinobacteriac__Coriobacteriiao__Eggerthellalesf__Eggerthellaceaeg__Asaccharobacter,Positive,0.094761761,0.000615085551649542,0.00037279659674861184,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Roseburias__Roseburia_sp_CAG_309,Positive,0.079968234,0.0001471983122408509,4.380678667724028e-05,Healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Barnesiellaceaeg__Coprobacters__Coprobacter_secundus,Positive,0.079612389,0.0001920977232738419,0.00010210630927835057,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Roseburias__Roseburia_hominis,Positive,0.0608568,0.0035658538215251694,0.0030091007184774015,Healthy
k__Bacteriap__Actinobacteriac__Coriobacteriiao__Eggerthellalesf__Eggerthellaceae,Positive,0.058580916,0.0029160007301243913,0.003117173459952418,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Eubacteriaceaeg__Eubacteriums__Eubacterium_hallii,Positive,0.056921339,0.008040520946457536,0.004269645944091994,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Eubacteriaceaeg__Eubacteriums__Eubacterium_sp_CAG_38,Positive,0.056241152,0.004137059052821346,0.004502333830689923,Non-healthy
k__Bacteriap__Proteobacteriac__Deltaproteobacteria,Positive,0.053288893,0.0015549594234721493,0.0015412530483743048,Healthy
k__Bacteriap__Firmicutesc__Bacillio__Lactobacillalesf__Streptococcaceaeg__Streptococcuss__Streptococcus_thermophilus,Positive,0.046697531,0.0015359433495583186,0.0018233498778747023,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Peptostreptococcaceaeg__Intestinibacters__Intestinibacter_bartlettii,Positive,0.0394009,0.0007866027270596715,0.0006321317498017439,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Ruminococcaceaeg__Agathobaculum,Positive,0.037998585,0.00290562830849107,0.0023049697981760513,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Roseburias__Roseburia_intestinalis,Positive,0.037594472,0.006613211332792491,0.006086187182394922,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Butyrivibrios__Butyrivibrio_crossotus,Positive,0.03262727,0.008482168850549834,0.0017507839900872326,Healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Barnesiellaceaeg__Coprobacter,Positive,0.029624955,0.0012272204479899065,0.001207904026566219,Healthy
k__Bacteriap__Firmicutesc__Firmicutes_unclassifiedo__Firmicutes_unclassifiedf__Firmicutes_unclassifiedg__Firmicutes_unclassifieds__Firmicutes_bacterium_CAG_95,Positive,0.021257317,0.0008913265419145487,0.0002336094567803331,Healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Bacteroidaceaeg__Bacteroidess__Bacteroides_cellulosilyticus,Positive,0.019404007,0.005430860318730851,0.0041980752446471,Healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Prevotellaceaeg__Prevotellas__Prevotella_copri,Positive,0.019327474,0.08746783952028135,0.05969049868199853,Healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Rikenellaceaeg__Alistipess__Alistipes_onderdonkii,Positive,0.011585085,0.0003679538391923561,0.0004086963116574149,Non-healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Rikenellaceaeg__Alistipess__Alistipes_indistinctus,Positive,0.009329113,0.0010585775776095169,0.0007042675590800958,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Ruminococcaceaeg__Ruminococcus,Positive,0.006980627,0.04253539460411044,0.03133913150911976,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Doreas__Dorea_longicatena,Positive,0.001742532,0.009992406518839005,0.006844778789452804,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Blautias__Blautia_sp_CAG_257,Positive,0.001635784,0.0004164567295835589,0.0020280470717684387,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Clostridiaceaeg__Hungatella,Negative,-0.000349678,0.00018342903659635817,0.0012482756074544013,Non-healthy
k__Bacteriap__Firmicutesc__Negativicuteso__Veillonellalesf__Veillonellaceaeg__Veillonellas__Veillonella_atypica,Negative,-0.002693387,0.00029075899188750666,0.0018987578045202215,Non-healthy
k__Bacteriap__Actinobacteriac__Actinobacteriao__Actinomycetalesf__Actinomycetaceaeg__Actinomyces,Negative,-0.002971707,0.00014754549972958352,0.0002744376641554321,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Clostridiales_Family_XIII_Incertae_Sedis,Negative,-0.004441634,3.379581269154499e-05,0.00011284667525773198,Non-healthy
k__Bacteriap__Firmicutesc__Erysipelotrichiao__Erysipelotrichalesf__Erysipelotrichaceaeg__Holdemanias__Holdemania_filiformis,Negative,-0.006184373,9.01463095366865e-05,0.0002171257192704207,Non-healthy
k__Bacteriap__Firmicutesc__Bacillio__Bacillalesf__Bacillales_unclassifiedg__Gemella,Negative,-0.012863021,3.5034098431584664e-05,0.00026838874306106254,Non-healthy
k__Bacteriap__Firmicutesc__Negativicuteso__Veillonellalesf__Veillonellaceaeg__Allisonellas__Allisonella_histaminiformans,Negative,-0.014209368,3.551391815395709e-05,6.971309318001588e-05,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Clostridiaceae,Negative,-0.016769603,0.00792314507896161,0.007881130965107055,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Blautias__Ruminococcus_gnavus,Negative,-0.018516819,0.002845035699837747,0.014320045790245832,Non-healthy
k__Bacteriap__Firmicutesc__Bacillio__Lactobacillalesf__Streptococcaceaeg__Streptococcuss__Streptococcus_gordonii,Negative,-0.020612325,4.353715485848204e-05,0.00023634438818398074,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Lachnoclostridiums__Clostridium_bolteae,Negative,-0.026879914,0.0003535582065981609,0.002594544889373505,Non-healthy
k__Bacteriap__Proteobacteriac__Gammaproteobacteriao__Enterobacterales,Negative,-0.029478227,0.02070776871840634,0.04163262776169704,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Ruminococcaceaeg__Ruminococcaceae_unclassifieds__Clostridium_leptum,Negative,-0.039198166,0.0003783231409771053,0.0006593050428231553,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Ruminococcaceaeg__Flavonifractor,Negative,-0.046777982,0.0019934741510726486,0.00607766059436956,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Clostridiaceaeg__Clostridiums__Clostridium_perfringens,Negative,-0.051122352,0.00012260947358932745,0.00028174438699444886,Non-healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Bacteroidaceaeg__Bacteroidess__Bacteroides_vulgatus,Negative,-0.071047842,0.06842800620695863,0.08757846783822366,Non-healthy
k__Bacteriap__Fusobacteriac__Fusobacteriiao__Fusobacterialesf__Fusobacteriaceaeg__Fusobacteriums__Fusobacterium_nucleatum,Negative,-0.072180401,4.273632233639805e-06,0.0002249695495638382,Non-healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Bacteroidaceaeg__Bacteroidess__Bacteroides_fragilis,Negative,-0.072912235,0.005638198998738057,0.016052244844964324,Non-healthy
k__Bacteriap__Firmicutesc__Negativicuteso__Veillonellalesf__Veillonellaceaeg__Megasphaera,Negative,-0.073701315,0.0005693030398413558,0.0016429721173671678,Non-healthy
k__Bacteriap__Firmicutesc__Bacillio__Lactobacillalesf__Lactobacillaceaeg__Lactobacilluss__Lactobacillus_mucosae,Negative,-0.081116056,8.318694014782766e-05,0.000812490584853291,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Ruminococcaceaeg__Anaeromassilibacilluss__Anaeromassilibacillus_sp_An250,Negative,-0.091535292,0.00010337825599423109,0.00019482749563838234,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Clostridiaceaeg__Clostridiums__Clostridium_sp_CAG_58,Negative,-0.092508251,0.0005122448164773753,0.0012267557034099914,Non-healthy
k__Bacteriap__Firmicutesc__Negativicuteso__Veillonellalesf__Veillonellaceaeg__Veillonellas__Veillonella_parvula,Negative,-0.09922763,0.0006702739803497391,0.0041221718830293476,Non-healthy
k__Bacteriap__Firmicutesc__Bacillio__Bacillalesf__Bacillales_unclassified,Negative,-0.150024868,3.5034098431584664e-05,0.00026838874306106254,Non-healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Bacteroidaceaeg__Bacteroidess__Bacteroides_plebeius,Negative,-0.150896016,0.01611547320623758,0.02606432121451231,Non-healthy
k__Bacteriap__Proteobacteriac__Gammaproteobacteriao__Enterobacteralesf__Enterobacteriaceaeg__Klebsiella,Negative,-0.151539409,0.0030493871481882123,0.010769742009119749,Non-healthy
k__Bacteriap__Firmicutesc__Erysipelotrichiao__Erysipelotrichalesf__Erysipelotrichaceaeg__Erysipelatoclostridiums__Erysipelatoclostridium_ramosum,Negative,-0.15641078,0.0003828272320173068,0.0019619238965107046,Non-healthy
k__Bacteriap__Fusobacteriac__Fusobacteriiao__Fusobacterialesf__Fusobacteriaceaeg__Fusobacterium,Negative,-0.16473418,0.0009792885164954018,0.003991948220459952,Non-healthy
k__Bacteriap__Firmicutesc__Erysipelotrichiao__Erysipelotrichalesf__Erysipelotrichaceaeg__Holdemania,Negative,-0.177277532,9.01463095366865e-05,0.0002171257192704207,Non-healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Bacteroidaceaeg__Bacteroidess__Bacteroides_coprocola,Negative,-0.183671725,0.003436468129259058,0.005782610750991277,Non-healthy
k__Bacteriap__Firmicutesc__Bacillio__Lactobacillalesf__Streptococcaceaeg__Streptococcuss__Streptococcus_oralis,Negative,-0.219254959,3.797742221020372e-05,0.0003331029365582869,Non-healthy
k__Bacteriap__Actinobacteriac__Actinobacteriao__Bifidobacterialesf__Bifidobacteriaceaeg__Bifidobacteriums__Bifidobacterium_dentium,Negative,-0.231004856,0.00011085820858121509,0.0008087108818398095,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Eisenbergiella,Negative,-0.23340965,0.0003826816924463667,0.0010482376510705781,Non-healthy
k__Bacteriap__Firmicutesc__Negativicuteso__Veillonellalesf__Veillonellaceaeg__Allisonella,Negative,-0.239115051,3.551391815395709e-05,6.971309318001588e-05,Non-healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Bacteroidaceaeg__Bacteroidess__Bacteroides_stercoris,Negative,-0.244539437,0.021721850339282527,0.03297662134972248,Non-healthy
k__Bacteriap__Firmicutesc__Bacillio__Lactobacillalesf__Streptococcaceaeg__Streptococcuss__Streptococcus_vestibularis,Negative,-0.255444476,8.088129150892376e-05,0.0004580937787470262,Non-healthy
k__Bacteriap__Firmicutesc__Bacillio__Bacillalesf__Bacillales_unclassifiedg__Gemellas__Gemella_morbillorum,Negative,-0.264911847,4.470367586082571e-06,0.0001246646665344964,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Eubacteriaceaeg__Eubacteriums__Eubacterium_sp_CAG_180,Negative,-0.284991034,0.00965639451108708,0.011663367142347347,Non-healthy
k__Bacteriap__Firmicutesc__Tissierelliao__Tissierellalesf__Peptoniphilaceaeg__Parvimonass__Parvimonas_micra,Negative,-0.287881726,3.575791130340725e-05,0.0004742587053925454,Non-healthy
k__Bacteriap__Firmicutesc__Bacillio__Lactobacillalesf__Streptococcaceaeg__Streptococcuss__Streptococcus_anginosus_group,Negative,-0.303896285,5.9301311700018e-05,0.0004276569397303724,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Clostridiaceaeg__Clostridiums__Clostridium_sp_CAG_242,Negative,-0.371123947,0.00017780167207499537,0.000645015548770817,Non-healthy
k__Bacteriap__Firmicutesc__Bacillio__Lactobacillalesf__Lactobacillaceaeg__Lactobacilluss__Lactobacillus_salivarius,Negative,-0.481214788,0.00014694119379844972,0.0015544205194290238,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Peptostreptococcaceaeg__Peptostreptococcus,Negative,-0.518964448,1.9366607715882456e-05,0.00037863904678826305,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Clostridiales_Family_XIII_Incertae_Sedisg__Mogibacterium,Negative,-0.561697857,1.4149161528754273e-05,5.373479936558284e-05,Non-healthy
k__Bacteriap__Firmicutesc__Negativicuteso__Veillonellalesf__Veillonellaceaeg__Dialisters__Dialister_pneumosintes,Negative,-0.589063519,1.0114288263926447e-05,0.00029664361816019054,Non-healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Lachnoclostridium,Negative,-0.680590503,0.0010268813708310786,0.006462657900475807,Non-healthy
aDetermined by comparing average relative abundances in Healthy and Non-Healthy groups.,,,,,
